2026-01-12 00:09:12 [ERROR]   Test error
2026-01-12 00:09:12 [INFO]   Redis operation
2026-01-12 00:09:12 [INFO]   Event: test_event - [object Object] {"eventType":"test_event"}
2026-01-12 00:09:12 [INFO]  [100ms] Performance: test_operation
2026-01-12 00:13:26 [ERROR]   Cannot read properties of null (reading 'substring')
2026-01-12 00:28:38 [INFO]   🐳 Ambiente detectado:
2026-01-12 00:28:38 [INFO]      Docker: ❌ Não
2026-01-12 00:28:38 [INFO]      Redis Host: localhost
2026-01-12 00:28:38 [INFO]      Redis URL: redis://localhost:6379
2026-01-12 00:28:38 [INFO]   🔧 Configurando Redis: localhost:6379 (com senha)
2026-01-12 00:28:38 [INFO]   🚀 Redis Pool inicializado com configurações otimizadas
2026-01-12 00:29:02 [INFO]   🐳 Ambiente detectado:
2026-01-12 00:29:02 [INFO]      Docker: ❌ Não
2026-01-12 00:29:02 [INFO]      Redis Host: localhost
2026-01-12 00:29:02 [INFO]      Redis URL: redis://localhost:6379
2026-01-12 00:29:02 [INFO]   🔧 Configurando Redis: localhost:6379 (com senha)
2026-01-12 00:29:02 [INFO]   🚀 Redis Pool inicializado com configurações otimizadas
2026-01-12 00:29:13 [INFO]   🐳 Ambiente detectado:
2026-01-12 00:29:13 [INFO]      Docker: ❌ Não
2026-01-12 00:29:13 [INFO]      Redis Host: localhost
2026-01-12 00:29:13 [INFO]      Redis URL: redis://localhost:6379
2026-01-12 00:29:13 [INFO]   🔧 Configurando Redis: localhost:6379 (com senha)
2026-01-12 00:29:13 [INFO]   🚀 Redis Pool inicializado com configurações otimizadas
2026-01-12 00:29:13 [ERROR]   ❌ Erro ao inicializar Firebase Admin: Cannot read properties of undefined (reading 'cert')
2026-01-12 00:29:13 [INFO]   ✅ FCM Service inicializado com sucesso
2026-01-12 00:29:13 [ERROR]   ❌ Erro ao inicializar Firebase Admin: Cannot read properties of undefined (reading 'cert')
2026-01-12 00:30:21 [INFO]   🐳 Ambiente detectado:
2026-01-12 00:30:21 [INFO]      Docker: ❌ Não
2026-01-12 00:30:21 [INFO]      Redis Host: localhost
2026-01-12 00:30:21 [INFO]      Redis URL: redis://localhost:6379
2026-01-12 00:30:21 [INFO]   🔧 Configurando Redis: localhost:6379 (com senha)
2026-01-12 00:30:21 [INFO]   🚀 Redis Pool inicializado com configurações otimizadas
2026-01-12 00:35:38 [INFO]   🐳 Ambiente detectado:
2026-01-12 00:35:38 [INFO]      Docker: ❌ Não
2026-01-12 00:35:38 [INFO]      Redis Host: localhost
2026-01-12 00:35:38 [INFO]      Redis URL: redis://localhost:6379
2026-01-12 00:35:38 [INFO]   🔧 Configurando Redis: localhost:6379 (com senha)
2026-01-12 00:35:38 [INFO]   🚀 Redis Pool inicializado com configurações otimizadas
2026-01-12 00:35:38 [INFO]   🐳 Ambiente detectado:
2026-01-12 00:35:38 [INFO]      Docker: ❌ Não
2026-01-12 00:35:38 [INFO]      Redis Host: localhost
2026-01-12 00:35:38 [INFO]      Redis URL: redis://localhost:6379
2026-01-12 00:35:38 [INFO]   🔧 Configurando Redis: localhost:6379 (com senha)
2026-01-12 00:35:38 [INFO]   🚀 Redis Pool inicializado com configurações otimizadas
2026-02-23 16:39:13 [INFO]   🐳 Ambiente detectado:
2026-02-23 16:39:16 [ERROR]   Erro no Redis Pool
2026-02-23 16:39:13 [INFO]      Docker: ❌ Não
2026-02-23 16:39:13 [INFO]      Redis Host: localhost
