1774228861,leaf-websocket,15.00%,209MiB / 3GiB
1774228861,leaf-sideeffects-worker,0.87%,25.89MiB / 1GiB
1774228861,leaf-redis,6.35%,115.6MiB / 1.5GiB
1774228864,leaf-websocket,12.18%,209.7MiB / 3GiB
1774228864,leaf-sideeffects-worker,0.79%,25.9MiB / 1GiB
1774228864,leaf-redis,6.93%,117.2MiB / 1.5GiB
1774228867,leaf-websocket,33.13%,212.4MiB / 3GiB
1774228867,leaf-sideeffects-worker,3.70%,25.85MiB / 1GiB
1774228867,leaf-redis,15.13%,115.6MiB / 1.5GiB
1774228870,leaf-websocket,88.85%,209.8MiB / 3GiB
1774228870,leaf-sideeffects-worker,0.93%,26.02MiB / 1GiB
1774228870,leaf-redis,16.58%,116MiB / 1.5GiB
1774228873,leaf-websocket,11.34%,210.4MiB / 3GiB
1774228873,leaf-sideeffects-worker,2.37%,25.62MiB / 1GiB
1774228873,leaf-redis,5.34%,116MiB / 1.5GiB
1774228875,leaf-websocket,10.92%,210.1MiB / 3GiB
1774228875,leaf-sideeffects-worker,0.91%,25.75MiB / 1GiB
1774228875,leaf-redis,4.69%,116MiB / 1.5GiB
1774228878,leaf-websocket,38.70%,209.5MiB / 3GiB
1774228878,leaf-sideeffects-worker,0.92%,25.89MiB / 1GiB
1774228878,leaf-redis,8.15%,116MiB / 1.5GiB
1774228881,leaf-websocket,14.46%,209.6MiB / 3GiB
1774228881,leaf-sideeffects-worker,0.83%,25.98MiB / 1GiB
1774228881,leaf-redis,6.97%,115.6MiB / 1.5GiB
1774228884,leaf-websocket,11.06%,209.9MiB / 3GiB
1774228884,leaf-sideeffects-worker,0.92%,26.11MiB / 1GiB
1774228884,leaf-redis,5.65%,115.6MiB / 1.5GiB
1774228887,leaf-websocket,28.19%,210.7MiB / 3GiB
1774228887,leaf-sideeffects-worker,1.71%,26.75MiB / 1GiB
1774228887,leaf-redis,10.15%,116.5MiB / 1.5GiB
1774228890,leaf-websocket,12.84%,209.4MiB / 3GiB
1774228890,leaf-sideeffects-worker,0.90%,26.76MiB / 1GiB
1774228890,leaf-redis,5.25%,115.6MiB / 1.5GiB
1774228893,leaf-websocket,18.92%,210.3MiB / 3GiB
1774228893,leaf-sideeffects-worker,1.46%,26.46MiB / 1GiB
1774228893,leaf-redis,6.04%,115.7MiB / 1.5GiB
1774228896,leaf-websocket,12.86%,211.2MiB / 3GiB
1774228896,leaf-sideeffects-worker,0.86%,26.46MiB / 1GiB
1774228896,leaf-redis,6.87%,115.7MiB / 1.5GiB
1774228899,leaf-websocket,12.49%,210.5MiB / 3GiB
1774228899,leaf-sideeffects-worker,1.87%,27.08MiB / 1GiB
1774228899,leaf-redis,5.93%,115.7MiB / 1.5GiB
1774228902,leaf-websocket,16.83%,210.3MiB / 3GiB
1774228902,leaf-sideeffects-worker,1.12%,26.66MiB / 1GiB
1774228902,leaf-redis,5.18%,115.7MiB / 1.5GiB
1774228905,leaf-websocket,11.38%,210.7MiB / 3GiB
1774228905,leaf-sideeffects-worker,1.40%,26.82MiB / 1GiB
1774228905,leaf-redis,5.19%,115.7MiB / 1.5GiB
1774228908,leaf-websocket,14.84%,210.7MiB / 3GiB
1774228908,leaf-sideeffects-worker,0.89%,26.97MiB / 1GiB
1774228908,leaf-redis,9.30%,115.7MiB / 1.5GiB
1774228911,leaf-websocket,22.97%,209.8MiB / 3GiB
1774228911,leaf-sideeffects-worker,35.68%,53.33MiB / 1GiB
1774228911,leaf-redis,6.08%,115.6MiB / 1.5GiB
1774228914,leaf-websocket,37.88%,210.5MiB / 3GiB
1774228914,leaf-sideeffects-worker,4.43%,27.58MiB / 1GiB
1774228914,leaf-redis,6.33%,115.7MiB / 1.5GiB
1774228918,leaf-websocket,25.20%,210.3MiB / 3GiB
1774228918,leaf-sideeffects-worker,2.49%,27.09MiB / 1GiB
1774228918,leaf-redis,9.52%,115.7MiB / 1.5GiB
1774228921,leaf-websocket,25.11%,211.2MiB / 3GiB
1774228921,leaf-sideeffects-worker,1.88%,27.32MiB / 1GiB
1774228921,leaf-redis,6.89%,115.7MiB / 1.5GiB
1774228924,leaf-websocket,17.97%,211.2MiB / 3GiB
1774228924,leaf-sideeffects-worker,0.89%,27.6MiB / 1GiB
1774228924,leaf-redis,6.41%,115.7MiB / 1.5GiB
1774228927,leaf-websocket,9.38%,211.8MiB / 3GiB
1774228927,leaf-sideeffects-worker,0.79%,27.69MiB / 1GiB
1774228927,leaf-redis,50.47%,118.4MiB / 1.5GiB
1774228930,leaf-websocket,67.22%,211MiB / 3GiB
1774228930,leaf-sideeffects-worker,0.88%,27.2MiB / 1GiB
1774228930,leaf-redis,21.27%,116.1MiB / 1.5GiB
1774228933,leaf-websocket,10.19%,211.8MiB / 3GiB
1774228933,leaf-sideeffects-worker,2.38%,27.36MiB / 1GiB
1774228933,leaf-redis,5.72%,116MiB / 1.5GiB
1774228936,leaf-websocket,14.10%,211.4MiB / 3GiB
1774228936,leaf-sideeffects-worker,0.89%,27.56MiB / 1GiB
1774228936,leaf-redis,5.31%,116MiB / 1.5GiB
1774228939,leaf-websocket,14.36%,211.9MiB / 3GiB
1774228939,leaf-sideeffects-worker,0.95%,27.74MiB / 1GiB
1774228939,leaf-redis,10.23%,116MiB / 1.5GiB
1774228942,leaf-websocket,13.56%,211.9MiB / 3GiB
1774228942,leaf-sideeffects-worker,10.78%,37.77MiB / 1GiB
1774228942,leaf-redis,5.20%,116MiB / 1.5GiB
1774228945,leaf-websocket,11.91%,212.5MiB / 3GiB
1774228945,leaf-sideeffects-worker,1.05%,27.11MiB / 1GiB
1774228945,leaf-redis,5.96%,115.7MiB / 1.5GiB
1774228948,leaf-websocket,20.86%,212.4MiB / 3GiB
1774228948,leaf-sideeffects-worker,0.85%,27.41MiB / 1GiB
1774228948,leaf-redis,9.84%,115.7MiB / 1.5GiB
1774228951,leaf-websocket,10.18%,212.1MiB / 3GiB
1774228951,leaf-sideeffects-worker,0.80%,27.51MiB / 1GiB
1774228951,leaf-redis,5.99%,115.7MiB / 1.5GiB
1774228954,leaf-websocket,9.81%,212.1MiB / 3GiB
1774228954,leaf-sideeffects-worker,0.80%,27.58MiB / 1GiB
1774228954,leaf-redis,4.85%,115.7MiB / 1.5GiB
1774228957,leaf-websocket,17.86%,212.4MiB / 3GiB
1774228957,leaf-sideeffects-worker,0.76%,27.69MiB / 1GiB
1774228957,leaf-redis,13.26%,115.7MiB / 1.5GiB
1774228960,leaf-websocket,8.74%,212.2MiB / 3GiB
1774228960,leaf-sideeffects-worker,0.79%,27.84MiB / 1GiB
1774228960,leaf-redis,4.59%,115.7MiB / 1.5GiB
1774228963,leaf-websocket,8.45%,212.3MiB / 3GiB
1774228963,leaf-sideeffects-worker,0.84%,27.18MiB / 1GiB
1774228963,leaf-redis,4.70%,115.7MiB / 1.5GiB
1774228966,leaf-websocket,13.01%,212.3MiB / 3GiB
1774228966,leaf-sideeffects-worker,0.99%,27.29MiB / 1GiB
1774228966,leaf-redis,5.60%,115.7MiB / 1.5GiB
1774228969,leaf-websocket,8.72%,211.9MiB / 3GiB
1774228969,leaf-sideeffects-worker,1.07%,27.4MiB / 1GiB
1774228969,leaf-redis,5.23%,115.7MiB / 1.5GiB
1774228972,leaf-websocket,11.17%,211.9MiB / 3GiB
1774228972,leaf-sideeffects-worker,0.87%,27.51MiB / 1GiB
1774228972,leaf-redis,5.26%,115.7MiB / 1.5GiB
1774228975,leaf-websocket,8.08%,211.6MiB / 3GiB
1774228975,leaf-sideeffects-worker,0.79%,27.62MiB / 1GiB
1774228975,leaf-redis,4.43%,115.7MiB / 1.5GiB
1774228978,leaf-websocket,8.11%,211.7MiB / 3GiB
1774228978,leaf-sideeffects-worker,0.88%,27.73MiB / 1GiB
1774228978,leaf-redis,12.20%,115.7MiB / 1.5GiB
